,game_id,game_code,date,venue_id,opp_id,home
0,380540,MIL-2014-03-31,2014-03-31,32,144,1
1,380554,MIL-2014-04-01,2014-04-01,32,144,1
2,380563,MIL-2014-04-02,2014-04-02,32,144,1
3,380595,BOS-2014-04-04,2014-04-04,3,111,0
4,380610,BOS-2014-04-05,2014-04-05,3,111,0
5,380625,BOS-2014-04-06,2014-04-06,3,111,0
6,380638,PHI-2014-04-07,2014-04-07,2681,143,0
7,380638,PHI-2014-04-08,2014-04-08,2681,143,0
8,380664,PHI-2014-04-09,2014-04-09,2681,143,0
9,380676,PHI-2014-04-10,2014-04-10,2681,143,0
10,380691,MIL-2014-04-11,2014-04-11,32,134,1
11,380706,MIL-2014-04-12,2014-04-12,32,134,1
12,380721,MIL-2014-04-13,2014-04-13,32,134,1
13,380731,MIL-2014-04-14,2014-04-14,32,138,1
14,380745,MIL-2014-04-15,2014-04-15,32,138,1
15,380760,MIL-2014-04-16,2014-04-16,32,138,1
16,380770,PIT-2014-04-17,2014-04-17,31,134,0
17,380782,PIT-2014-04-18,2014-04-18,31,134,0
18,380797,PIT-2014-04-19,2014-04-19,31,134,0
19,380812,PIT-2014-04-20,2014-04-20,31,134,0
20,380829,MIL-2014-04-21,2014-04-21,32,135,1
21,380844,MIL-2014-04-22,2014-04-22,32,135,1
22,380859,MIL-2014-04-23,2014-04-23,32,135,1
23,380876,MIL-2014-04-25,2014-04-25,32,112,1
24,380891,MIL-2014-04-26,2014-04-26,32,112,1
25,380906,MIL-2014-04-27,2014-04-27,32,112,1
26,380922,STL-2014-04-28,2014-04-28,2889,138,0
27,380932,STL-2014-04-29,2014-04-29,2889,138,0
28,380947,STL-2014-04-30,2014-04-30,2889,138,0
29,380958,CIN-2014-05-01,2014-05-01,2602,113,0
30,380968,CIN-2014-05-02,2014-05-02,2602,113,0
31,380983,CIN-2014-05-03,2014-05-03,2602,113,0
32,380998,CIN-2014-05-04,2014-05-04,2602,113,0
33,381008,MIL-2014-05-05,2014-05-05,32,109,1
34,381021,MIL-2014-05-06,2014-05-06,32,109,1
35,381036,MIL-2014-05-07,2014-05-07,32,109,1
36,381070,MIL-2014-05-09,2014-05-09,32,147,1
37,381085,MIL-2014-05-10,2014-05-10,32,147,1
38,381100,MIL-2014-05-11,2014-05-11,32,147,1
39,381125,MIL-2014-05-13,2014-05-13,32,134,1
40,381140,MIL-2014-05-14,2014-05-14,32,134,1
41,381151,MIL-2014-05-15,2014-05-15,32,134,1
42,381161,CHC-2014-05-16,2014-05-16,17,112,0
43,381176,CHC-2014-05-17,2014-05-17,17,112,0
44,381191,CHC-2014-05-18,2014-05-18,17,112,0
45,381203,ATL-2014-05-19,2014-05-19,16,144,0
46,381211,ATL-2014-05-20,2014-05-20,16,144,0
47,381226,ATL-2014-05-21,2014-05-21,16,144,0
48,381239,ATL-2014-05-22,2014-05-22,16,144,0
49,381255,MIA-2014-05-23,2014-05-23,4169,146,0
50,381270,MIA-2014-05-24,2014-05-24,4169,146,0
51,381285,MIA-2014-05-25,2014-05-25,4169,146,0
52,381293,MIL-2014-05-26,2014-05-26,32,110,1
53,381308,MIL-2014-05-27,2014-05-27,32,110,1
54,381324,MIL-2014-05-28,2014-05-28,32,110,1
55,381350,MIL-2014-05-30,2014-05-30,32,112,1
56,381365,MIL-2014-05-31,2014-05-31,32,112,1
57,381380,MIL-2014-06-01,2014-06-01,32,112,1
58,381395,MIL-2014-06-02,2014-06-02,32,142,1
59,381404,MIL-2014-06-03,2014-06-03,32,142,1
60,381419,MIN-2014-06-04,2014-06-04,3312,142,0
61,381432,MIN-2014-06-05,2014-06-05,3312,142,0
62,381446,PIT-2014-06-06,2014-06-06,31,134,0
63,381461,PIT-2014-06-07,2014-06-07,31,134,0
64,381476,PIT-2014-06-08,2014-06-08,31,134,0
65,381504,NYM-2014-06-10,2014-06-10,3289,121,0
66,381519,NYM-2014-06-11,2014-06-11,3289,121,0
67,381532,NYM-2014-06-12,2014-06-12,3289,121,0
68,381540,MIL-2014-06-13,2014-06-13,32,113,1
69,381555,MIL-2014-06-14,2014-06-14,32,113,1
70,381570,MIL-2014-06-15,2014-06-15,32,113,1
71,381587,ARI-2014-06-16,2014-06-16,15,109,0
72,381600,ARI-2014-06-17,2014-06-17,15,109,0
73,381615,ARI-2014-06-18,2014-06-18,15,109,0
74,381629,ARI-2014-06-19,2014-06-19,15,109,0
75,381641,COL-2014-06-20,2014-06-20,19,115,0
76,381656,COL-2014-06-21,2014-06-21,19,115,0
77,381671,COL-2014-06-22,2014-06-22,19,115,0
78,381690,MIL-2014-06-23,2014-06-23,32,120,1
79,381705,MIL-2014-06-24,2014-06-24,32,120,1
80,381720,MIL-2014-06-25,2014-06-25,32,120,1
81,381724,MIL-2014-06-26,2014-06-26,32,115,1
82,381737,MIL-2014-06-27,2014-06-27,32,115,1
83,381752,MIL-2014-06-28,2014-06-28,32,115,1
84,381767,MIL-2014-06-29,2014-06-29,32,115,1
85,381793,TOR-2014-07-01,2014-07-01,14,141,0
86,381808,TOR-2014-07-02,2014-07-02,14,141,0
87,381832,CIN-2014-07-04,2014-07-04,2602,113,0
88,381847,CIN-2014-07-05,2014-07-05,2602,113,0
89,381862,CIN-2014-07-06,2014-07-06,2602,113,0
90,381879,MIL-2014-07-07,2014-07-07,32,143,1
91,381894,MIL-2014-07-08,2014-07-08,32,143,1
92,381909,MIL-2014-07-09,2014-07-09,32,143,1
93,381922,MIL-2014-07-10,2014-07-10,32,143,1
94,381938,MIL-2014-07-11,2014-07-11,32,138,1
95,381953,MIL-2014-07-12,2014-07-12,32,138,1
96,381968,MIL-2014-07-13,2014-07-13,32,138,1
97,381980,WSN-2014-07-18,2014-07-18,3309,120,0
98,381995,WSN-2014-07-19,2014-07-19,3309,120,0
99,382010,WSN-2014-07-20,2014-07-20,3309,120,0
100,382019,MIL-2014-07-21,2014-07-21,32,113,1
101,382031,MIL-2014-07-22,2014-07-22,32,113,1
102,382046,MIL-2014-07-23,2014-07-23,32,113,1
103,382066,MIL-2014-07-24,2014-07-24,32,121,1
104,382078,MIL-2014-07-25,2014-07-25,32,121,1
105,382093,MIL-2014-07-26,2014-07-26,32,121,1
106,382108,MIL-2014-07-27,2014-07-27,32,121,1
107,382117,TBR-2014-07-28,2014-07-28,12,139,0
108,382130,TBR-2014-07-29,2014-07-29,12,139,0
109,382145,TBR-2014-07-30,2014-07-30,12,139,0
110,382172,STL-2014-08-01,2014-08-01,2889,138,0
111,382187,STL-2014-08-02,2014-08-02,2889,138,0
112,382202,STL-2014-08-03,2014-08-03,2889,138,0
113,382229,MIL-2014-08-05,2014-08-05,32,137,1
114,382244,MIL-2014-08-06,2014-08-06,32,137,1
115,382259,MIL-2014-08-07,2014-08-07,32,137,1
116,382265,MIL-2014-08-08,2014-08-08,32,119,1
117,382280,MIL-2014-08-09,2014-08-09,32,119,1
118,382295,MIL-2014-08-10,2014-08-10,32,119,1
119,382308,CHC-2014-08-11,2014-08-11,17,112,0
120,382322,CHC-2014-08-12,2014-08-12,17,112,0
121,382336,CHC-2014-08-13,2014-08-13,17,112,0
122,382350,CHC-2014-08-14,2014-08-14,17,112,0
123,382363,LAD-2014-08-15,2014-08-15,22,119,0
124,382378,LAD-2014-08-16,2014-08-16,22,119,0
125,382393,LAD-2014-08-17,2014-08-17,22,119,0
126,382423,MIL-2014-08-19,2014-08-19,32,141,1
127,382438,MIL-2014-08-20,2014-08-20,32,141,1
128,382456,MIL-2014-08-22,2014-08-22,32,134,1
129,382471,MIL-2014-08-23,2014-08-23,32,134,1
130,382486,MIL-2014-08-24,2014-08-24,32,134,1
131,382495,SDP-2014-08-25,2014-08-25,2680,135,0
132,382508,SDP-2014-08-26,2014-08-26,2680,135,0
133,382523,SDP-2014-08-27,2014-08-27,2680,135,0
134,382548,SFG-2014-08-29,2014-08-29,2395,137,0
135,382563,SFG-2014-08-30,2014-08-30,2395,137,0
136,382578,SFG-2014-08-31,2014-08-31,2395,137,0
137,382588,CHC-2014-09-01,2014-09-01,17,112,0
138,382603,CHC-2014-09-02,2014-09-02,17,112,0
139,382618,CHC-2014-09-03,2014-09-03,17,112,0
140,382632,MIL-2014-09-04,2014-09-04,32,138,1
141,382647,MIL-2014-09-05,2014-09-05,32,138,1
142,382662,MIL-2014-09-06,2014-09-06,32,138,1
143,382677,MIL-2014-09-07,2014-09-07,32,138,1
144,382685,MIL-2014-09-08,2014-09-08,32,146,1
145,382698,MIL-2014-09-09,2014-09-09,32,146,1
146,382713,MIL-2014-09-10,2014-09-10,32,146,1
147,382723,MIL-2014-09-11,2014-09-11,32,146,1
148,382733,MIL-2014-09-12,2014-09-12,32,113,1
149,382748,MIL-2014-09-13,2014-09-13,32,113,1
150,382763,MIL-2014-09-14,2014-09-14,32,113,1
151,382794,STL-2014-09-16,2014-09-16,2889,138,0
152,382809,STL-2014-09-17,2014-09-17,2889,138,0
153,382821,STL-2014-09-18,2014-09-18,2889,138,0
154,382834,PIT-2014-09-19,2014-09-19,31,134,0
155,382849,PIT-2014-09-20,2014-09-20,31,134,0
156,382864,PIT-2014-09-21,2014-09-21,31,134,0
157,382890,CIN-2014-09-23,2014-09-23,2602,113,0
158,382905,CIN-2014-09-24,2014-09-24,2602,113,0
159,382915,CIN-2014-09-25,2014-09-25,2602,113,0
160,382927,MIL-2014-09-26,2014-09-26,32,112,1
161,382942,MIL-2014-09-27,2014-09-27,32,112,1
162,382957,MIL-2014-09-28,2014-09-28,32,112,1
0,413655,MIL-2015-04-06,2015-04-06,32,115,1
1,413667,MIL-2015-04-07,2015-04-07,32,115,1
2,413677,MIL-2015-04-08,2015-04-08,32,115,1
3,413704,MIL-2015-04-10,2015-04-10,32,134,1
4,413719,MIL-2015-04-11,2015-04-11,32,134,1
5,413734,MIL-2015-04-12,2015-04-12,32,134,1
6,413748,STL-2015-04-13,2015-04-13,2889,138,0
7,413776,STL-2015-04-15,2015-04-15,2889,138,0
8,413786,STL-2015-04-16,2015-04-16,2889,138,0
9,413798,PIT-2015-04-17,2015-04-17,31,134,0
10,413813,PIT-2015-04-18,2015-04-18,31,134,0
11,413828,PIT-2015-04-19,2015-04-19,31,134,0
12,413836,MIL-2015-04-20,2015-04-20,32,113,1
13,413847,MIL-2015-04-21,2015-04-21,32,113,1
14,413862,MIL-2015-04-22,2015-04-22,32,113,1
15,413877,MIL-2015-04-23,2015-04-23,32,113,1
16,413896,MIL-2015-04-24,2015-04-24,32,138,1
17,413911,MIL-2015-04-25,2015-04-25,32,138,1
18,413926,MIL-2015-04-26,2015-04-26,32,138,1
19,413935,CIN-2015-04-27,2015-04-27,2602,113,0
20,413950,CIN-2015-04-28,2015-04-28,2602,113,0
21,413965,CIN-2015-04-29,2015-04-29,2602,113,0
22,413988,CHC-2015-05-01,2015-05-01,17,112,0
23,414003,CHC-2015-05-02,2015-05-02,17,112,0
24,414018,CHC-2015-05-03,2015-05-03,17,112,0
25,414029,MIL-2015-05-04,2015-05-04,32,119,1
26,414044,MIL-2015-05-05,2015-05-05,32,119,1
27,414059,MIL-2015-05-06,2015-05-06,32,119,1
28,414074,MIL-2015-05-07,2015-05-07,32,119,1
29,414082,MIL-2015-05-08,2015-05-08,32,112,1
30,414097,MIL-2015-05-09,2015-05-09,32,112,1
31,414112,MIL-2015-05-10,2015-05-10,32,112,1
32,414126,MIL-2015-05-11,2015-05-11,32,145,1
33,414136,MIL-2015-05-12,2015-05-12,32,145,1
34,414151,MIL-2015-05-13,2015-05-13,32,145,1
35,414183,NYM-2015-05-15,2015-05-15,3289,121,0
36,414198,NYM-2015-05-16,2015-05-16,3289,121,0
37,414213,NYM-2015-05-17,2015-05-17,3289,121,0
38,414223,DET-2015-05-18,2015-05-18,2394,116,0
39,414233,DET-2015-05-19,2015-05-19,2394,116,0
40,414248,DET-2015-05-20,2015-05-20,2394,116,0
41,414263,ATL-2015-05-21,2015-05-21,16,144,0
42,414274,ATL-2015-05-22,2015-05-22,16,144,0
43,414289,ATL-2015-05-23,2015-05-23,16,144,0
44,414304,ATL-2015-05-24,2015-05-24,16,144,0
45,414326,MIL-2015-05-25,2015-05-25,32,137,1
46,414341,MIL-2015-05-26,2015-05-26,32,137,1
47,414356,MIL-2015-05-27,2015-05-27,32,137,1
48,414365,MIL-2015-05-29,2015-05-29,32,109,1
49,414380,MIL-2015-05-30,2015-05-30,32,109,1
50,414395,MIL-2015-05-31,2015-05-31,32,109,1
51,414414,STL-2015-06-01,2015-06-01,2889,138,0
52,414428,STL-2015-06-02,2015-06-02,2889,138,0
53,414443,STL-2015-06-03,2015-06-03,2889,138,0
54,414467,MIN-2015-06-05,2015-06-05,3312,142,0
55,414482,MIN-2015-06-06,2015-06-06,3312,142,0
56,414497,MIN-2015-06-07,2015-06-07,3312,142,0
57,414510,PIT-2015-06-08,2015-06-08,31,134,0
58,414521,PIT-2015-06-09,2015-06-09,31,134,0
59,414536,PIT-2015-06-10,2015-06-10,31,134,0
60,414552,MIL-2015-06-11,2015-06-11,32,120,1
61,414567,MIL-2015-06-12,2015-06-12,32,120,1
62,414582,MIL-2015-06-13,2015-06-13,32,120,1
63,414597,MIL-2015-06-14,2015-06-14,32,120,1
64,414604,MIL-2015-06-15,2015-06-15,32,118,1
65,414619,MIL-2015-06-16,2015-06-16,32,118,1
66,414635,KCR-2015-06-17,2015-06-17,7,118,0
67,414650,KCR-2015-06-18,2015-06-18,7,118,0
68,414665,COL-2015-06-19,2015-06-19,19,115,0
69,414680,COL-2015-06-20,2015-06-20,19,115,0
70,414695,COL-2015-06-21,2015-06-21,19,115,0
71,414719,MIL-2015-06-23,2015-06-23,32,121,1
72,414734,MIL-2015-06-24,2015-06-24,32,121,1
73,414747,MIL-2015-06-25,2015-06-25,32,121,1
74,414761,MIL-2015-06-26,2015-06-26,32,142,1
75,414776,MIL-2015-06-27,2015-06-27,32,142,1
76,414791,MIL-2015-06-28,2015-06-28,32,142,1
77,414801,PHI-2015-06-29,2015-06-29,2681,143,0
78,414812,PHI-2015-06-30,2015-06-30,2681,143,0
79,414827,PHI-2015-07-01,2015-07-01,2681,143,0
80,414839,PHI-2015-07-02,2015-07-02,2681,143,0
81,414853,CIN-2015-07-03,2015-07-03,2602,113,0
82,414868,CIN-2015-07-04,2015-07-04,2602,113,0
83,414883,CIN-2015-07-05,2015-07-05,2602,113,0
84,414892,MIL-2015-07-06,2015-07-06,32,144,1
85,414905,MIL-2015-07-07,2015-07-07,32,144,1
86,414920,MIL-2015-07-08,2015-07-08,32,144,1
87,414950,LAD-2015-07-10,2015-07-10,22,119,0
88,414965,LAD-2015-07-11,2015-07-11,22,119,0
89,414980,LAD-2015-07-12,2015-07-12,22,119,0
90,414999,MIL-2015-07-17,2015-07-17,32,134,1
91,415014,MIL-2015-07-18,2015-07-18,32,134,1
92,415029,MIL-2015-07-19,2015-07-19,32,134,1
93,415047,MIL-2015-07-21,2015-07-21,32,114,1
94,415062,MIL-2015-07-22,2015-07-22,32,114,1
95,415079,ARI-2015-07-23,2015-07-23,15,109,0
96,415092,ARI-2015-07-24,2015-07-24,15,109,0
97,415107,ARI-2015-07-25,2015-07-25,15,109,0
98,415122,ARI-2015-07-26,2015-07-26,15,109,0
99,415136,SFG-2015-07-27,2015-07-27,2395,137,0
100,415146,SFG-2015-07-28,2015-07-28,2395,137,0
101,415161,SFG-2015-07-29,2015-07-29,2395,137,0
102,415171,MIL-2015-07-30,2015-07-30,32,112,1
103,415184,MIL-2015-07-31,2015-07-31,32,112,1
104,415199,MIL-2015-08-01,2015-08-01,32,112,1
105,415214,MIL-2015-08-02,2015-08-02,32,112,1
106,415233,MIL-2015-08-03,2015-08-03,32,135,1
107,415247,MIL-2015-08-04,2015-08-04,32,135,1
108,415262,MIL-2015-08-05,2015-08-05,32,135,1
109,415274,MIL-2015-08-06,2015-08-06,32,135,1
110,415289,MIL-2015-08-07,2015-08-07,32,138,1
111,415304,MIL-2015-08-08,2015-08-08,32,138,1
112,415319,MIL-2015-08-09,2015-08-09,32,138,1
113,415337,CHC-2015-08-11,2015-08-11,17,112,0
114,415352,CHC-2015-08-12,2015-08-12,17,112,0
115,415362,CHC-2015-08-13,2015-08-13,17,112,0
116,415377,MIL-2015-08-14,2015-08-14,32,143,1
117,415392,MIL-2015-08-15,2015-08-15,32,143,1
118,415407,MIL-2015-08-16,2015-08-16,32,143,1
119,415417,MIL-2015-08-17,2015-08-17,32,146,1
120,415430,MIL-2015-08-18,2015-08-18,32,146,1
121,415445,MIL-2015-08-19,2015-08-19,32,146,1
122,415470,WSN-2015-08-21,2015-08-21,3309,120,0
123,415485,WSN-2015-08-22,2015-08-22,3309,120,0
124,415500,WSN-2015-08-23,2015-08-23,3309,120,0
125,415524,CLE-2015-08-25,2015-08-25,5,114,0
126,415539,CLE-2015-08-26,2015-08-26,5,114,0
127,415562,MIL-2015-08-28,2015-08-28,32,113,1
128,415577,MIL-2015-08-29,2015-08-29,32,113,1
129,415592,MIL-2015-08-30,2015-08-30,32,113,1
130,415624,MIL-2015-09-01,2015-09-01,32,134,1
131,415639,MIL-2015-09-02,2015-09-02,32,134,1
132,415649,MIL-2015-09-03,2015-09-03,32,134,1
133,415657,CIN-2015-09-04,2015-09-04,2602,113,0
134,415672,CIN-2015-09-05,2015-09-05,2602,113,0
135,415657,CIN-2015-09-05,2015-09-05,2602,113,0
136,415687,CIN-2015-09-06,2015-09-06,2602,113,0
137,415703,MIA-2015-09-07,2015-09-07,4169,146,0
138,415718,MIA-2015-09-08,2015-09-08,4169,146,0
139,415733,MIA-2015-09-09,2015-09-09,4169,146,0
140,415743,PIT-2015-09-10,2015-09-10,31,134,0
141,415755,PIT-2015-09-11,2015-09-11,31,134,0
142,415770,PIT-2015-09-12,2015-09-12,31,134,0
143,415785,PIT-2015-09-13,2015-09-13,31,134,0
144,415817,MIL-2015-09-15,2015-09-15,32,138,1
145,415832,MIL-2015-09-16,2015-09-16,32,138,1
146,415842,MIL-2015-09-17,2015-09-17,32,138,1
147,415849,MIL-2015-09-18,2015-09-18,32,113,1
148,415864,MIL-2015-09-19,2015-09-19,32,113,1
149,415879,MIL-2015-09-20,2015-09-20,32,113,1
150,415895,CHC-2015-09-21,2015-09-21,17,112,0
151,415906,CHC-2015-09-22,2015-09-22,17,112,0
152,415921,CHC-2015-09-23,2015-09-23,17,112,0
153,415932,STL-2015-09-24,2015-09-24,2889,138,0
154,415946,STL-2015-09-25,2015-09-25,2889,138,0
155,415961,STL-2015-09-26,2015-09-26,2889,138,0
156,415976,STL-2015-09-27,2015-09-27,2889,138,0
157,416001,SDP-2015-09-29,2015-09-29,2680,135,0
158,416016,SDP-2015-09-30,2015-09-30,2680,135,0
159,416030,SDP-2015-10-01,2015-10-01,2680,135,0
160,416037,MIL-2015-10-02,2015-10-02,32,112,1
161,416052,MIL-2015-10-03,2015-10-03,32,112,1
162,416067,MIL-2015-10-04,2015-10-04,32,112,1
0,446875,MIL-2016-04-04,2016-04-04,32,137,1
1,446885,MIL-2016-04-05,2016-04-05,32,137,1
2,446898,MIL-2016-04-06,2016-04-06,32,137,1
3,446915,MIL-2016-04-08,2016-04-08,32,117,1
4,446930,MIL-2016-04-09,2016-04-09,32,117,1
5,446945,MIL-2016-04-10,2016-04-10,32,117,1
6,446964,STL-2016-04-11,2016-04-11,2889,138,0
7,446975,STL-2016-04-13,2016-04-13,2889,138,0
8,446991,STL-2016-04-14,2016-04-14,2889,138,0
9,447016,PIT-2016-04-15,2016-04-15,31,134,0
10,447031,PIT-2016-04-16,2016-04-16,31,134,0
11,447046,PIT-2016-04-17,2016-04-17,31,134,0
12,447056,MIN-2016-04-18,2016-04-18,3312,142,0
13,447066,MIN-2016-04-19,2016-04-19,3312,142,0
14,447081,MIL-2016-04-20,2016-04-20,32,142,1
15,447095,MIL-2016-04-21,2016-04-21,32,142,1
16,447112,MIL-2016-04-22,2016-04-22,32,143,1
17,447127,MIL-2016-04-23,2016-04-23,32,143,1
18,447142,MIL-2016-04-24,2016-04-24,32,143,1
19,447169,CHC-2016-04-26,2016-04-26,17,112,0
20,447184,CHC-2016-04-27,2016-04-27,17,112,0
21,447194,CHC-2016-04-28,2016-04-28,17,112,0
22,447208,MIL-2016-04-29,2016-04-29,32,146,1
23,447223,MIL-2016-04-30,2016-04-30,32,146,1
24,447238,MIL-2016-05-01,2016-05-01,32,146,1
25,447247,MIL-2016-05-02,2016-05-02,32,108,1
26,447260,MIL-2016-05-03,2016-05-03,32,108,1
27,447275,MIL-2016-05-04,2016-05-04,32,108,1
28,447288,CIN-2016-05-05,2016-05-05,2602,113,0
29,447300,CIN-2016-05-06,2016-05-06,2602,113,0
30,447315,CIN-2016-05-07,2016-05-07,2602,113,0
31,447330,CIN-2016-05-08,2016-05-08,2602,113,0
32,447346,MIA-2016-05-09,2016-05-09,4169,146,0
33,447359,MIA-2016-05-10,2016-05-10,4169,146,0
34,447374,MIA-2016-05-11,2016-05-11,4169,146,0
35,447388,MIL-2016-05-12,2016-05-12,32,135,1
36,447402,MIL-2016-05-13,2016-05-13,32,135,1
37,447417,MIL-2016-05-14,2016-05-14,32,135,1
38,447432,MIL-2016-05-15,2016-05-15,32,135,1
39,447446,MIL-2016-05-17,2016-05-17,32,112,1
40,447461,MIL-2016-05-18,2016-05-18,32,112,1
41,447475,MIL-2016-05-19,2016-05-19,32,112,1
42,447494,NYM-2016-05-20,2016-05-20,3289,121,0
43,447509,NYM-2016-05-21,2016-05-21,3289,121,0
44,447524,NYM-2016-05-22,2016-05-22,3289,121,0
45,447548,ATL-2016-05-24,2016-05-24,16,144,0
46,447564,ATL-2016-05-25,2016-05-25,16,144,0
